Honorific,Name,Office Type,Department,Suite,Street,City,Province,Country,Postal Code,Email Address,Telephone,Fax
Hon.,Jones  Sylvia ,Constituency,, ,244 Broadway Avenue,Orangeville,ON,Canada,L9W 1K5,sylvia.jonesco@pc.ola.org,Tel:  519-941-7751,Fax:  519-941-3246
,Kanapathi  Logan ,Constituency,,Unit 5,450 Alden Road,Markham,Ontario,Canada,L3R 5H4,logan.kanapathico@pc.ola.org,Tel:  905-305-1935,Fax:  905-305-1938
,Karahalios  Belinda ,Constituency,, ,498 Eagle Street North,Cambridge,Ontario,Canada,N3H 1C2,belinda.karahaliosco@pc.ola.org,,Fax:  519-650-3918
,Karpoche  Bhutila ,Constituency,, ,2849 Dundas Street West,Toronto,Ontario,Canada,M6P 1Y6,BKarpoche-CO@ndp.on.ca,Tel:  416-763-5630,Fax:  416-763-5640
,Ke  Vincent ,Constituency,,Suite 103,2175 Sheppard Avenue East,North York,Ontario,Canada,M2J 1W8,vincent.keco@pc.ola.org,Tel:  416-494-8778,Fax:  416-494-0110
,Kernaghan  Terence ,Constituency,,Unit 105 ,400 York Street,London,Ontario,Canada,N6B 3N2,TKernaghan-CO@ndp.on.ca,Tel:  519-432-7339,Fax:  519-432-0613
,Khanjin  Andrea ,Constituency,,Unit 1,237 Mapleview Drive East,Barrie,Ontario,Canada,L4N 0W5,andrea.khanjinco@pc.ola.org,Tel:  705-722-0575,Fax:  705-722-8835
,Kramp  Daryl ,Constituency,,Suite 6,6 Dundas Street East  Napanee Downtown Business Hub,Napanee,Ontario,Canada,K7R 3L4,,Tel:  613-308-9625,Fax:  613-308-9685
,Kramp  Daryl ,Constituency,, ,26A St. Lawrence Street West  P.O. BOX 70,Madoc,Ontario,Canada,K0K 2K0,,Toll Free:  855-229-6676 Tel:  343-600-3310,Fax:  343-600-3329
,Lalonde  Marie-France ,Constituency,,Unit 206,250 Centrum Boulevard,Orléans,Ontario,Canada,K1E 3J1,mflalonde.mpp.co@liberal.ola.org,Tel:  613-834-8679,Fax:  613-834-7647
,Lecce  Stephen ,Constituency,,Unit 1,2220 King Road,King City,Ontario,Canada,L7B 1L3,,Tel:  647-560-9700,Fax:  647-560-9701
,Lindo  Laura Mae ,Constituency,,Unit 3,379 Queen Street South,Kitchener,Ontario,Canada,N2G 1W6,LLindo-CO@ndp.on.ca,Tel:  519-579-5460,Fax:  519-579-2121
Hon.,MacLeod  Lisa ,Constituency,,Unit 10,3500 Fallowfield Road,Nepean,Ontario,Canada,K2J 4A7,lisa.macleodco@pc.ola.org,Tel:  613-823-2116,Fax:  613-823-8284
,Mamakwa  Sol ,Constituency,,Unit 104,73 King Street  P.O. BOX 176,Sioux Lookout,Ontario,Canada,P8T 1A1,SMamakwa-CO@ndp.on.ca,Tel:  807-737-2210,Fax:  807-737-1592
,Mantha  Michael ,Constituency,, ,18 Mary Walk,Elliot Lake,Ontario,Canada,P5A 2A1,mmantha-co@ndp.on.ca,Toll Free:  1-800-831-1899 Tel:  705-461-9710,Fax:  705-461-9720
,Martin  Robin ,Constituency,, ,2882 Dufferin Street,Toronto,Ontario,Canada,M6B 3S6,robin.martinco@pc.ola.org,Tel:  416-781-2395,Fax:  416-781-4116
,Martow  Gila ,Constituency,,Unit 4,1136 Centre Street  Centre Street Square,Thornhill,Ontario,Canada,L4J 3M8,gila.martowco@pc.ola.org,Tel:  905-731-8462,Fax:  905-731-2984
,McDonell  Jim ,Constituency,, ,120 Second Street West  Time Square,Cornwall,Ontario,Canada,K6J 1G5,jim.mcdonellco@pc.ola.org,Tel:  613-933-6513,Fax:  613-933-6449
,McKenna  Jane ,Constituency,,Unit 104,472 Brock Avenue,Burlington,Ontario,Canada,L7S 1N1,,Tel:  905-639-7924,Fax:  905-639-3284
Hon.,McNaughton  Monte ,Constituency,, ,360 James Street,Wallaceburg,Ontario,Canada,N8A 2N5,monte.mcnaughtonco@pc.ola.org,Tel:  519-627-1015,Fax:  519-627-7174
Hon.,McNaughton  Monte ,Constituency,, ,81 Front Street West,Strathroy,Ontario,Canada,N7G 1X6,monte.mcnaughtonco@pc.ola.org,Tel:  519-245-8696,Fax:  519-245-8697
,Miller  Paul ,Constituency,, ,289 Queenston Road,Hamilton,Ontario,Canada,L8K 1H2,pmiller-co@ndp.on.ca,Tel:  905-545-0114,Fax:  905-545-9024
,Miller  Norman ,Constituency,, ,17 James Street,Parry Sound,Ontario,Canada,P2A 1T4,,Toll Free:  1-888-701-1176 Tel:  705-746-4266,Fax:  705-746-1578
,Miller  Norman ,Constituency,,Unit 1,165 Manitoba Street,Bracebridge,Ontario,Canada,P1L 1S3,,Toll Free:  1-888-267-4826 Tel:  705-645-8538,Fax:  705-645-8148
,Mitas  Christina ,Constituency,, ,2063 Lawrence Avenue East,Scarborough,Ontario,Canada,M1R 2Z4,christina.mitasco@pc.ola.org,Tel:  416-615-2183,Fax:  416-615-2011
,Monteith-Farrell  Judith ,Constituency,, ,409 George Street,Thunder Bay,Ontario,Canada,P7E 5Y9,JMonteith-Farrell-CO@ndp.on.ca,Toll Free:  833-673-4129 Tel:  807-622-1920,Fax:  807-622-3263
Hon.,Mulroney  Caroline ,Constituency,,Unit 8,45 Grist Mill Road,Holland Landing,Ontario,Canada,L9N 1M7,caroline.mulroneyco@pc.ola.org,Tel:  905-895-1555,Fax:  905-895-0337
,Natyshak  Taras ,Constituency,, ,316 Talbot Street North,Essex,Ontario,Canada,N8M 2E1,tnatyshak-co@ndp.on.ca,Toll Free:  1-800-265-3909 Tel:  519-776-6420,Fax:  519-776-6980
,Nicholls  Rick ,Constituency,,Suite 100,111 Heritage Road,Chatham,Ontario,Canada,N7M 5W7,rick.nichollsco@pc.ola.org,Toll Free:  1-800-265-3992  Tel:  519-351-0510,Fax:  519-351-7714
,Nicholls  Rick ,Constituency,,Unit B,115 Erie Street North,Leamington,Ontario,Canada,N8H 3A3,,Tel:  519-326-3367,Fax:  519-326-0404
,Oosterhoff  Sam ,Constituency,,Unit M1,4961 King Street East,Beamsville,Ontario,Canada,L0R 1B0,sam.oosterhoffco@pc.ola.org,Tel:  905-563-1755,Fax:  905-563-1317
,Pang  Billy ,Constituency,,Unit 602,3601 Highway 7 East,Markham,Ontario,Canada,L3R 0M3,,Tel:  905-474-3288,Fax:  905-474-2878
,Park  Lindsey ,Constituency,, ,23 King Street West,Bowmanville,Ontario,Canada,L1C 1R2,lindsey.parkco@pc.ola.org,Tel:  905-697-1501,Fax:  905-697-1506
,Parsa  Michael ,Constituency,,Suite 403,13291 Yonge Street,Richmond Hill,Ontario,Canada,L4E 4L6,michael.parsaco@pc.ola.org,Toll Free:  888-486-5352 Tel:  905-773-6250,Fax:  905-773-8158
,Pettapiece  Randy ,Constituency,,Unit 2,55 Lorne Avenue East,Stratford,Ontario,Canada,N5A 6S4,randy.pettapiececo@pc.ola.org,Tel:  519-272-0660,Fax:  519-272-1064
Hon.,Phillips  Rod ,Constituency,,Suite 201A,50 Commercial Avenue,Ajax,Ontario,Canada,L1S 2H5,rod.phillipsco@pc.ola.org,Tel:  905-427-2060,Fax:  905-427-6976
,Piccini  David ,Constituency,,Unit 7,513 Division Street,Cobourg,Ontario,Canada,K9A 5G6,david.piccinico@pc.ola.org,Tel:  905-372-4000,Fax:  905-372-1672
,Rakocevic  Tom ,Constituency,,Unit 38,2300 Finch Avenue West,North York,Ontario,Canada,M9M 2Y3,TRakocevic-CO@ndp.on.ca,Tel:  416-743-7272,Fax:  416-743-3292
,Rasheed  Kaleed ,Constituency,,Unit 315,1420 Burnhamthorpe Road East,Mississauga,Ontario,Canada,L4X 2Z9,kaleed.rasheedco@pc.ola.org,Tel:  905-238-1751,Fax:  905-238-4918
Hon.,Rickford  Greg ,Constituency,,Unit 2 ,439 Government Street,Dryden,Ontario,Canada,P8N 2P4,greg.rickford@pc.ola.org,Tel:  807-223-6456,Fax:  807-223-6593
Hon.,Rickford  Greg ,Constituency,,Unit 1,279 Scott Street,Fort Frances,Ontario,Canada,P9A 1G8,greg.rickford@pc.ola.org,Tel:  807-274-7619,Fax:  807-274-3721
Hon.,Rickford  Greg ,Constituency,, ,300 McClellan Avenue East Room,Kenora,Ontario,Canada,P9N 1A8,greg.rickford@pc.ola.org,Tel:  807-467-2415,Fax:  807-467-2641
,Roberts  Jeremy ,Constituency,,Suite 201,2249 Carling Avenue,Ottawa,Ontario,Canada,K2B 7E9,jeremy.robertsco@pc.ola.org,Tel:  613-721-8075,Fax:  613-721-5756
,Romano  Ross ,Constituency,,Suite 102,390 Bay Street,Sault Ste Marie,Ontario,Canada,P6A 1X2,ross.romanoco@pc.ola.org,Tel:  705-949-6959,Fax:  705-946-6269
,Sandhu  Amarjot ,Constituency,,Unit 309,10 Gillingham Drive,Brampton,Ontario,Canada,L6X 0G6,amarjot.sandhuco@pc.ola.org,Tel:  905-595-1532,Fax:  905-457-8496
,Sarkaria  Prabmeet Singh ,Constituency,,Unit 412A,7700 Hurontario Street,Brampton,Ontario,Canada,L6Y 4M3,,Tel:  905-796-8669,Fax:  905-796-8069
,Sattler  Peggy ,Constituency,,Unit 106,240 Commissioners Road West,London,Ontario,Canada,N6J 1Y1,Psattler-co@ndp.on.ca,Tel:  519-657-3120,Fax:  519-657-0368
,Schreiner  Mike ,Constituency,, ,173 Woolwich Street,Guelph,Ontario,Canada,N1H 3V4,mschreiner-co@ola.org,Tel:  519-836-4190,Fax:  519-836-4191
Hon.,Scott  Laurie ,Constituency,, ,14 Lindsay Street North,Lindsay,Ontario,Canada,K9V 1T4,laurie.scottco@pc.ola.org,Toll Free:  1-800-424-2490,
,Simard  Amanda ,Constituency,,Suite 116,151 Main Street East,Hawkesbury,Ontario,Canada,K6A 1A1,amanda.simard@pc.ola.org,Toll Free:  800-294-8250  Tel:  613-632-2706,Fax:  613-632-1554
,Skelly  Donna ,Constituency,,Suite 104,2000 Garth Street,Hamilton,Ontario,Canada,L9B 0C1,,Tel:  905-679-3770,Fax:  905-679-0288
,Smith  Dave ,Constituency,, ,236 King Street,Peterborough,Ontario,Canada,K9J 7L8,dave.smithco@pc.ola.org,Tel:  705-742-3777,Fax:  705-742-1822
Hon.,Smith  Todd ,Constituency,,Unit 4,5503 Highway 62 South,Belleville,Ontario,Canada,K8N 4Z7,todd.smithco@pc.ola.org,Toll Free:  877-536-6248 Tel:  613-962-1144,Fax:  613-969-6381
,Stevens  Jennifer (Jennie) ,Constituency,, ,,St. Catharines,Ontario,Canada,,JStevens-CO@ndp.on.ca,Tel:  905-935-0018,Fax:  905-935-0191
,Stiles  Marit ,Constituency,, ,1199 Bloor Street West,Toronto,Ontario,Canada,M6H 1N4,MStiles-CO@ndp.on.ca,Tel:  416-535-3158,Fax:  416-535-6587
,Surma  Kinga ,Constituency,,Unit 102,201 Lloyd Manor Road  Lloydmanor Shopping Centre,Etobicoke,Ontario,Canada,M9B 6H6,,Tel:  416-234-2800,Fax:  416-234-2276
,Tabuns  Peter ,Constituency,, ,923 Danforth Avenue,Toronto,Ontario,Canada,M4J 1L8,tabunsp-co@ndp.on.ca,Tel:  416-461-0223,Fax:  416-461-9542
,Tangri  Nina ,Constituency,Meadowvale Corporate Centre,Suite 220,2000 Argentia Road  2nd Floor  Plaza IV,Mississauga,Ontario,Canada,L5N 1W1,nina.tangrico@pc.ola.org,Tel:  905-569-1643,Fax:  905-569-6416
,Taylor  Monique ,Constituency,,Unit 202,555 Concession Street,Hamilton,Ontario,Canada,L8V 1A8,mtaylor-co@ndp.on.ca,Tel:  905-388-9734,Fax:  905-388-7862
Hon.,Thompson  Lisa ,Constituency,, ,408 Queen Street  P.O. BOX 426,Blyth,Ontario,Canada,N0M 1H0,lisa.thompsonco@pc.ola.org,Tel:  519-523-4251,Fax:  226-523-9296
Hon.,Thompson  Lisa ,Constituency,,Unit 2,807 Queen Street,Kincardine,Ontario,Canada,N2Z 2Y2,lisa.thompsonco@pc.ola.org,Toll Free:  1-866-396-3007 Tel:  519-396-3007,Fax:  519-396-3011
Hon.,Tibollo  Michael A. ,Constituency,,Unit 3,5100 Rutherford Road,Woodbridge,Ontario,Canada,L4H 2J2,michael.tibolloco@pc.ola.org,Tel:  905-893-4428,Fax:  905-893-4537
,Triantafilopoulos  Effie J. ,Constituency,,Room 124NW,Main Legislative Building,Toronto,Ontario,Canada,M7A 1A8,,Tel:  905-220-8448,
,Vanthof  John ,Constituency,,Unit 5,247 Whitewood Avenue  P.O. BOX 398  Pinewoods Centre,New Liskeard,Ontario,Canada,P0J 1P0,jvanthof-co@ndp.on.ca,Tel:  705-647-5995,Fax:  705-647-1976
,Vanthof  John ,Constituency,, ,63B Government Road West,Kirkland Lake,Ontario,Canada,P2N 2E6,jvanthof-co@ndp.on.ca,Tel:  705-567-4650,Fax:  705-567-4208
,Vanthof  John ,Constituency,, ,193 King Street  2nd Floor,Sturgeon Falls,Ontario,Canada,P2B 1R8,jvanthof-co@ndp.on.ca,Tel:  705-753-0200,Fax:  705-753-0800
,Wai  Daisy ,Constituency,,Suite 311,9555 Yonge Street,Richmond Hill,Ontario,Canada,L4C 9M5,daisy.waico@pc.ola.org,Tel:  905-884-8080,Fax:  905-884-1040
,Walker  Bill ,Constituency,,Suite 100,920 1st Avenue West,Owen Sound,Ontario,Canada,N4K 4K5,bill.walkerco@pc.ola.org,Toll Free:  1-800-461-2664 Tel:  519-371-2421,Fax:  519-371-0953
,West  Jamie ,Constituency,,Unit 4B,555 Barrydowne Road,Sudbury,Ontario,Canada,P3A 3T4,JWest-CO@ndp.on.ca,Tel:  705-675-1914,Fax:  705-675-1456
Hon.,Wilson  Jim ,Constituency,,Suite 28,180 Parsons Road,Alliston,Ontario,Canada,L9R 1E8,jim.wilsonco@pc.ola.org,Tel:  705-435-4087,Fax:  705-435-1051
Hon.,Wilson  Jim ,Constituency,, ,50 Hume Street,Collingwood,Ontario,Canada,L9Y 1V2,jim.wilsonco@pc.ola.org,Toll Free:  1-800-268-7542 Tel:  705-446-1090,Fax:  705-446-3397
,Wynne  Kathleen O. ,Constituency,,Suite 101,795 Eglinton Avenue East,Toronto,Ontario,Canada,M4G 4E4,kwynne.mpp.co@liberal.ola.org,Tel:  416-425-6777,Fax:  416-425-0350
Hon.,Yakabuski  John ,Constituency,,Unit 6,84 Isabella Street  The Victoria Center,Pembroke,Ontario,Canada,K8A 5S5,john.yakabuskico@pc.ola.org,Tel:  613-735-6627,Fax:  613-735-6692
,Yarde  Kevin ,Constituency,,Unit 7,10215 Kennedy Road North,Brampton,Ontario,Canada,L6Z 0C5,KYarde-CO@ndp.on.ca,Tel:  905-495-8030,Fax:  905-495-1041
Hon.,Yurek  Jeff ,Constituency,,Suite 201,750 Talbot Street ,St. Thomas,Ontario,Canada,N5P 1E2,jeff.yurekco@pc.ola.org,Toll Free:  1-800-265-7638 Tel:  519-631-0666,Fax:  519-631-9478
